ROI_Name,X_base,Y_base
ROI_0,2768.0,8460.0
ROI_0,2768.0,8473.0
ROI_0,2755.0,8473.0
ROI_0,2742.0,8486.0
ROI_0,2729.0,8525.0
ROI_0,2716.0,8551.0
ROI_0,2638.0,8694.0
ROI_0,2625.0,8733.0
ROI_0,2495.0,8927.0
ROI_0,2456.0,9031.0
ROI_0,2313.0,9395.0
ROI_0,2274.0,9551.0
ROI_0,2196.0,10045.0
ROI_0,2170.0,10227.0
ROI_0,2118.0,10838.0
ROI_0,2118.0,11111.0
ROI_0,2118.0,11137.0
ROI_0,2118.0,11696.0
ROI_0,2118.0,11955.0
ROI_0,2118.0,11981.0
ROI_0,2144.0,12605.0
ROI_0,2144.0,12631.0
ROI_0,2196.0,12943.0
ROI_0,2430.0,13658.0
ROI_0,2534.0,13931.0
ROI_0,2807.0,14529.0
ROI_0,2924.0,14775.0
ROI_0,3262.0,15347.0
ROI_0,3431.0,15646.0
ROI_0,4002.0,16413.0
ROI_0,4314.0,16803.0
ROI_0,4340.0,16829.0
ROI_0,4808.0,17349.0
ROI_0,5211.0,17738.0
ROI_0,5757.0,18245.0
ROI_0,5991.0,18479.0
ROI_0,6459.0,18921.0
ROI_0,6757.0,19207.0
ROI_0,7186.0,19532.0
ROI_0,7563.0,19753.0
ROI_0,8018.0,20013.0
ROI_0,8252.0,20117.0
ROI_0,8759.0,20286.0
ROI_0,9071.0,20377.0
ROI_0,9551.0,20481.0
ROI_0,9876.0,20507.0
ROI_0,10279.0,20507.0
ROI_0,10604.0,20481.0
ROI_0,11085.0,20403.0
ROI_0,11384.0,20403.0
ROI_0,11800.0,20403.0
ROI_0,12021.0,20403.0
ROI_0,12047.0,20403.0
ROI_0,12359.0,20403.0
ROI_0,12644.0,20312.0
ROI_0,12982.0,20143.0
ROI_0,13268.0,20000.0
ROI_0,13749.0,19766.0
ROI_0,14009.0,19636.0
ROI_0,14347.0,19454.0
ROI_0,14542.0,19337.0
ROI_0,14932.0,19090.0
ROI_0,15231.0,18882.0
ROI_0,15724.0,18479.0
ROI_0,16166.0,18115.0
ROI_0,16686.0,17686.0
ROI_0,17050.0,17362.0
ROI_0,17661.0,16738.0
ROI_0,18051.0,16361.0
ROI_0,18518.0,15789.0
ROI_0,18791.0,15438.0
ROI_0,19051.0,14983.0
ROI_0,19220.0,14646.0
ROI_0,19415.0,14191.0
ROI_0,19506.0,13970.0
ROI_0,19532.0,13918.0
ROI_0,19727.0,13502.0
ROI_0,19818.0,13320.0
ROI_0,19935.0,13047.0
ROI_0,19974.0,12826.0
ROI_0,20039.0,12527.0
ROI_0,20065.0,12306.0
ROI_0,20117.0,11955.0
ROI_0,20143.0,11709.0
ROI_0,20182.0,11358.0
ROI_0,20208.0,11241.0
ROI_0,20221.0,11137.0
ROI_0,20221.0,11111.0
ROI_0,20221.0,11085.0
ROI_0,20221.0,11072.0
ROI_0,20221.0,11059.0
ROI_0,20221.0,11033.0
ROI_0,20208.0,10955.0
ROI_0,20195.0,10903.0
ROI_0,20169.0,10760.0
ROI_0,20156.0,10669.0
ROI_0,20104.0,10409.0
ROI_0,20065.0,10188.0
ROI_0,20065.0,10162.0
ROI_0,19987.0,9824.0
ROI_0,19922.0,9590.0
ROI_0,19831.0,9291.0
ROI_0,19792.0,9109.0
ROI_0,19675.0,8862.0
ROI_0,19636.0,8707.0
ROI_0,19545.0,8421.0
ROI_0,19506.0,8278.0
ROI_0,19480.0,8252.0
ROI_0,19402.0,8031.0
ROI_0,19363.0,7901.0
ROI_0,19285.0,7693.0
ROI_0,19246.0,7602.0
ROI_0,19181.0,7407.0
ROI_0,19116.0,7290.0
ROI_0,19025.0,7030.0
ROI_0,18986.0,6887.0
ROI_0,18934.0,6744.0
ROI_0,18882.0,6614.0
ROI_0,18882.0,6588.0
ROI_0,18830.0,6393.0
ROI_0,18791.0,6250.0
ROI_0,18739.0,6016.0
ROI_0,18674.0,5848.0
ROI_0,18609.0,5640.0
ROI_0,18583.0,5497.0
ROI_0,18518.0,5276.0
ROI_0,18466.0,5081.0
ROI_0,18466.0,5068.0
ROI_0,18375.0,4834.0
ROI_0,18336.0,4704.0
ROI_0,18246.0,4444.0
ROI_0,18168.0,4275.0
ROI_0,18051.0,4028.0
ROI_0,17999.0,3924.0
ROI_0,17999.0,3911.0
ROI_0,17934.0,3742.0
ROI_0,17856.0,3638.0
ROI_0,17739.0,3430.0
ROI_0,17635.0,3287.0
ROI_0,17453.0,3092.0
ROI_0,17323.0,2962.0
ROI_0,17024.0,2703.0
ROI_0,16855.0,2573.0
ROI_0,16595.0,2391.0
ROI_0,16452.0,2274.0
ROI_0,16426.0,2274.0
ROI_0,16049.0,2066.0
ROI_0,15763.0,1936.0
ROI_0,15309.0,1767.0
ROI_0,15010.0,1702.0
ROI_0,14997.0,1702.0
ROI_0,14581.0,1624.0
ROI_0,14360.0,1624.0
ROI_0,13983.0,1598.0
ROI_0,13775.0,1598.0
ROI_0,13385.0,1624.0
ROI_0,13138.0,1650.0
ROI_0,13112.0,1650.0
ROI_0,12294.0,1871.0
ROI_0,12034.0,1962.0
ROI_0,11566.0,2157.0
ROI_0,11254.0,2287.0
ROI_0,10786.0,2508.0
ROI_0,10526.0,2625.0
ROI_0,9850.0,2859.0
ROI_0,9551.0,3001.0
ROI_0,9525.0,3001.0
ROI_0,9110.0,3196.0
ROI_0,8876.0,3352.0
ROI_0,8421.0,3599.0
ROI_0,8148.0,3742.0
ROI_0,7537.0,4080.0
ROI_0,7173.0,4288.0
ROI_0,7147.0,4314.0
ROI_0,6562.0,4743.0
ROI_0,6225.0,5003.0
ROI_0,5770.0,5406.0
ROI_0,5458.0,5614.0
ROI_0,5068.0,5886.0
ROI_0,4912.0,6003.0
ROI_0,4691.0,6185.0
ROI_0,4587.0,6276.0
ROI_0,4509.0,6419.0
ROI_0,4418.0,6523.0
ROI_0,4327.0,6640.0
ROI_0,4301.0,6705.0
ROI_0,4249.0,6770.0
ROI_0,4236.0,6809.0
ROI_0,4223.0,6835.0
ROI_0,4197.0,6861.0
ROI_0,4158.0,6939.0
ROI_0,4132.0,7017.0
ROI_0,4080.0,7134.0
ROI_0,4028.0,7212.0
ROI_0,4028.0,7225.0
ROI_0,3963.0,7303.0
ROI_0,3950.0,7342.0
ROI_0,3898.0,7394.0
ROI_0,3846.0,7433.0
ROI_0,3781.0,7511.0
ROI_0,3768.0,7511.0
ROI_0,3729.0,7576.0
ROI_0,3690.0,7615.0
ROI_0,3690.0,7628.0
ROI_0,3651.0,7680.0
ROI_0,3587.0,7732.0
ROI_0,3548.0,7745.0
ROI_0,3483.0,7797.0
ROI_0,3444.0,7823.0
ROI_0,3379.0,7888.0
ROI_0,3353.0,7914.0
ROI_0,3314.0,7940.0
ROI_0,3314.0,7979.0
ROI_0,3301.0,7992.0
ROI_0,3288.0,7992.0
ROI_0,3210.0,8083.0
ROI_0,3184.0,8109.0
ROI_0,3145.0,8148.0
ROI_0,3106.0,8174.0
ROI_0,3067.0,8226.0
ROI_0,3028.0,8252.0
ROI_0,2963.0,8330.0
ROI_0,2924.0,8369.0
ROI_0,2846.0,8434.0
ROI_0,2794.0,8473.0
ROI_0,2768.0,8486.0
ROI_0,2755.0,8499.0
ROI_0,2755.0,8525.0
